"ID","OCAK","SUBAT","MART","NISAN","MAYIS","HAZIRAN","TEMMUZ","AGUSTOS","EYLUL","EKIM","KASIM","ARALIK","YILLIK"
65,-6.5,-6.6,-7,-2.8,1,7.8,10,9.8,4.6,2.5,-4.8,-4,-7
66,-14.5,-13.5,-7.3,-2.4,2,6.1,8.7,7.8,5.4,-0.6,-6.6,-9.1,-14.5
67,-8.1,-9.8,-7,-2.4,2.7,1.9,13.4,12.4,6.8,1.5,-2.8,-5,-9.8
68,-19.3,-16.5,-13.3,-4.1,2,8.2,13.1,14.4,8.5,0.3,-4.1,-14.6,-19.3
69,-6.2,-7.5,-8.4,-0.4,-0.7,8.8,13.5,13.2,6.5,0.7,-1.2,-4.1,-8.4
70,-34.6,-34.4,-27.6,-11,-5.5,-0.6,3,3.2,-3.8,-9,-24.4,-30.2,-34.6
71,-10.6,-12.4,-7.3,-3.2,2.5,8.3,15,16,10,1.9,-6,-6.4,-12.4
72,-14.5,-13.2,-11.2,-4.7,0.8,5.4,10,10,3.2,-0.5,-5,-10.8,-14.5
73,-13.5,-13.3,-10.4,-1.2,2.7,8.6,10.9,11,3.7,-1.8,-7.8,-10.9,-13.5
74,-23.4,-22.1,-21.2,-6.3,0,2.7,6.1,6.7,2.4,-3.2,-11.8,-21,-23.4
75,-7,-7.4,-5.8,-2,4.2,9.2,11,13.5,7.3,3.4,-1.6,-3.3,-7.4
76,-30.3,-29,-24.7,-7.1,-0.1,1,9.2,7.7,2.6,-4,-16.4,-25.6,-30.3
77,-19.9,-15,-12.5,-6.2,-1,2.9,7.4,6.8,2,-4.8,-11.8,-18.9,-19.9
78,-28.7,-28.2,-22.7,-17.5,-3.5,-2.6,3.6,5,-1,-14,-20.5,-21.3,-28.7
79,-9.6,-11,-7.4,-1.6,1.2,7.1,10,9.9,6,1.3,-3.2,-9.2,-11
80,-23.7,-24.4,-20.6,-12.6,-3,-0.4,3,3.7,-2.4,-6.8,-18.5,-20.2,-24.4
81,-7.7,-8,-6.4,-2.1,3,8.8,11.2,10,5.9,1.8,-3.2,-7.4,-8
