"ID","OCAK","SUBAT","MART","NISAN","MAYIS","HAZIRAN","TEMMUZ","AGUSTOS","EYLUL","EKIM","KASIM","ARALIK","YILLIK"
71,4.1,5.1,6.2,7.5,10.1,12.2,12.3,11.4,10.1,8.6,6.6,4,98.2
72,3.1,4.4,6.1,8.6,9.1,11.1,11.5,11.5,10.2,7.2,5.3,3.3,91.4
73,2.4,3.2,4.1,5.4,7.4,9.6,9.5,9,7.2,4.5,3.2,2.3,67.8
74,2.5,3.4,4.5,6.1,7.2,8.2,8.5,9.2,8.3,5.5,4.1,2.3,69.8
75,2.8,3.3,3.5,4.3,5.7,7.1,6.1,5.7,5,4.6,3.7,2.7,54.5
76,3.2,4.1,5.3,6.3,8.5,11.1,11.6,11.1,9.3,6.5,5.1,3.1,85.2
77,4,4.5,5.4,7,9,11.1,12.1,11.4,9.5,7.3,5.3,3.5,90.1
78,4.3,5.2,6,7.2,9.2,11.4,12.1,11.3,9.5,7,5.4,4.2,92.8
79,1.6,3,4.2,5.4,7.3,9.1,9.3,9,7.3,5.6,2.4,1.3,65.5
80,3,4.1,5.2,6.3,8.2,10,11.1,10.5,9.1,6.4,4.5,3,81.4
81,2.1,2.5,3.5,5.2,7.6,9.3,10.2,9.3,7.3,5,3.3,2.2,67.5
