"ID","OCAK","SUBAT","MART","NISAN","MAYIS","HAZIRAN","TEMMUZ","AGUSTOS","EYLUL","EKIM","KASIM","ARALIK","YILLIK"
64,23.7,28,32,36.5,41.7,42.6,42.8,43.2,41.2,38.3,31,29,43.2
65,24,28.1,32.6,35.8,38.2,36.1,35.4,35.6,34.6,33.8,30.4,26.7,38.2
66,24.2,28.7,34,38,38,40.4,44,41.8,38.6,38.6,30.2,28.5,44
67,24.2,26.5,33.6,37,37.4,37.4,37.5,39,38.3,38.4,32.4,28.9,39
68,19.7,20.6,28.5,32.9,36.2,40.2,44.4,46,39.9,36.6,26,24.3,46
69,22.8,25,29.3,32,33.6,33.2,34.5,33.2,33,34,27.9,27.3,34.5
70,14.6,18.1,25.2,29,32,35.5,40,39.4,35.7,30.5,24,19.4,40
71,21.6,25.5,29.5,36.4,40,44,46.8,46.2,42,37.8,30.8,26,46.8
72,18.1,17.3,24.8,29,31.4,36.4,40.4,40.3,36.8,31.3,22.6,19,40.4
73,21.5,24.7,28.1,34.3,33.8,40.2,38.4,37.5,39.7,35.1,27.9,23.5,40.2
74,20.2,22.8,31.1,35.1,36.4,39.8,45,40.8,38.9,35.3,35.6,23,45
75,25.9,30.1,35.2,37.6,38.2,36.7,37,38.2,37.9,33.8,32.8,26.4,38.2
76,14.2,19.4,26,32.2,36.6,39,43.5,43.5,40.3,35.6,27,21.7,43.5
77,18.3,23.6,27,30,32.1,36.6,40.2,38.2,35.7,32.6,26,21.8,40.2
78,12.6,14.3,22.7,27.2,28.3,33.5,37.5,36.7,35,28.8,20.5,15.5,37.5
79,25,27.2,32,36.5,37,42.1,45.4,41.5,37.5,36.6,29.7,27.4,45.4
80,15.4,18.5,25,29.5,30.9,33.1,38.8,37.2,33.9,30.1,22.9,18.2,38.8
81,24.1,26.7,31.7,33.6,36.7,40.5,39.5,39.8,34,35.9,29.9,28.1,40.5
