"ID","OCAK","SUBAT","MART","NISAN","MAYIS","HAZIRAN","TEMMUZ","AGUSTOS","EYLUL","EKIM","KASIM","ARALIK","YILLIK"
65,14.6,14.2,15.7,14.8,14.2,13.9,13.7,14.2,14.7,14.9,13.5,14.1,172.5
66,15.2,13.9,13.4,11.2,9.8,8,5.7,5.7,7.3,11.1,11.9,15.4,128.6
67,13.4,13.5,15.1,13.5,12.4,9.1,5.9,6.3,9.6,11.9,11.9,13,135.6
68,12.4,12,14.1,13.3,10.3,3.2,0.6,0.5,1.7,7.1,8.9,11.6,95.7
69,15.5,13.6,13.7,11.4,10.2,7.8,5.3,6.2,9,12.4,12.7,15.6,133.4
70,12.8,12.4,13.3,13.5,13.9,8.5,2.4,2,4.4,7.8,9.4,12.1,112.5
71,12,10.8,10.4,8.8,6,1.3,0.3,0.2,0.8,4.7,7.5,10.7,73.5
72,8.6,9.1,9.4,9.5,6.6,1.6,0.5,0.2,0.8,5.2,6.5,8.7,66.7
73,12.2,10.5,10.6,9.3,8.2,7.2,3.6,2.5,4.6,7.6,9.5,12.1,97.9
74,11,10.5,12.1,12.4,13.3,8.6,2.8,2.3,4.8,7.8,9.1,11.2,105.9
75,13,12.6,13.8,13.7,13.1,11,8.3,8.8,11.6,12.9,12.2,12.7,143.7
76,11.8,12,12.9,13.6,12.3,5,1.5,1.2,2.7,8.3,9.4,11.5,102.2
77,12.5,11.1,10.9,10.3,9.8,5.4,2.6,1.9,3.2,6.7,8.2,12.9,95.5
78,10,9.8,12.1,12.2,10.9,5.2,2,1.3,2.5,8.4,8.8,9.8,93
79,15.1,12.8,12,10.6,7.6,5.7,3.8,3.8,5.8,9.7,11.3,14.3,112.5
80,13.5,12.8,13.2,12.8,13.3,8.9,3,2.2,3.9,7.3,9,13.2,113.1
81,17.9,15.7,15.1,12.2,10.7,8.6,6.7,6.9,8.5,12.4,13.7,17.5,145.9
