"ID","OCAK","SUBAT","MART","NISAN","MAYIS","HAZIRAN","TEMMUZ","AGUSTOS","EYLUL","EKIM","KASIM","ARALIK","YILLIK"
60,-7.3,-5.8,1,9.2,15,20.4,25.4,25.4,20.1,12.7,4.6,-2.9,9.8
61,-0.3,0.9,4.9,10.1,14.6,18.6,21.8,21.4,17.1,11.8,6.2,1.8,10.7
62,-0.4,1,5,10.6,15.2,19.4,22.7,22.4,17.9,12.2,6.2,1.6,11.2
63,6.8,6.9,8.1,11.5,15.8,20.4,23,23.2,20,15.9,11.8,8.8,14.4
64,8.6,9.9,12.7,17,21.1,25.2,27.9,28.4,25.4,20.5,13.9,9.8,18.4
65,6.7,6.6,7.9,11.6,16,20.2,22.7,23,19.9,16.1,12,8.6,14.3
66,6.1,6.7,8.5,13,17.4,21.5,23.4,23.2,19.6,15.4,11.5,8.1,14.5
67,7,7,7.9,11.2,15.6,20.3,23.2,23.5,20,16.2,12.5,9.2,14.5
68,2.6,4.2,8.2,13.7,19.3,25.9,30.5,30.1,25,17.9,10.4,4.7,16
69,7,6.6,7.4,10.5,14.9,19.7,22.7,23.1,19.9,16.2,12.5,9.2,14.1
70,-3.5,-2.1,2.6,8.8,13.5,17,20,20.1,16,10.7,4.7,-0.8,8.9
71,5.5,6.9,10.7,16.1,22.1,28,31.9,31.3,26.8,20.1,12.8,7.4,18.3
72,1.9,3.1,7,12.1,17.7,24.21,28.5,28.3,23.6,16.6,8.9,4.1,14.7
73,4.7,5.4,7.3,11.8,16.8,21.3,23.8,23.8,20,15.4,11,7.1,14
74,1.9,3.5,7.4,12.5,16.5,19.9,22.3,22.4,18.8,13.7,7.9,3.8,12.6
75,7.3,7.2,8.3,11.7,15.9,20.3,23,23.4,20.3,16.5,12.8,9.4,14.7
76,-1.8,-0.1,5.7,12,17.1,22.7,27.3,26.9,21.6,14.6,6.9,1.1,12.8
77,2.2,3.2,6,10.8,15.7,20.2,23.5,23.5,19,13.3,8,4,12.5
78,-3.4,-2.8,1.3,7.6,13.1,18.2,22.3,22,17.3,10.8,4.4,-0.8,9.2
79,6.5,6.8,8.3,12.4,17,21.4,23.7,23.6,20,15.7,11.8,8.7,14.7
80,-1.9,-0.8,2.8,8.3,13.1,16.7,19.5,19.6,15.5,10.3,4.7,0.5,9
81,6.1,6.1,7.4,11.2,15.4,19.6,21.9,21.8,18.6,15,11.6,8.3,13.6
